OS,Hash,Round,RawTimes
Linux,sha256,round3,"[13129475, 123318418, 14213773, 2647067, 43342339, 45511890, 20136562, 7403697, 62744587, 6760239, 12956641, 19290076, 13246888, 13718571, 50778766]"
Linux,sha256,round4,"[47890050, 40729840, 66090768, 29719264, 11133412, 6335056, 64582331, 65731555, 81544506, 71217745, 66032577, 21046774, 20890894, 1280619, 9606618]"
Linux,sha256,round5,"[8830971, 34322051, 16819234, 2160603, 63817455, 7124434, 16814974, 3224148, 61381660, 113943444, 21306798, 26259807, 46262892, 28950572, 60070665]"
Linux,sha256,round6,"[15320846, 31439412, 22473037, 124275537, 22216403, 15800751, 52934397, 27965811, 136547115, 109024956, 48449375, 77230026, 165016731, 53272761, 14008608]"
Linux,sha256,round7,"[12266773, 13751446, 118363494, 14251264, 2147941, 39875260, 42384254, 21189943, 7951784, 65192424, 6745173, 13799295, 18301239, 9487039, 12853770]"
Linux,sha256,round8,"[46060850, 52728029, 35340844, 50381119, 29603117, 12472848, 6037052, 64871600, 73374094, 79196235, 70046781, 65778582, 23613426, 18489253, 1612791]"
Linux,sha256,round9,"[5481164, 8919927, 36103364, 15802585, 2207419, 65451135, 6793511, 16791879, 3238538, 59723563, 104653687, 20435942, 21409114, 40327249, 30658368]"
Linux,sha512,round1,"[169010473, 49479594, 12935928, 12703170, 12073202, 123630523, 14897873, 2556360, 43128629, 48819366, 21780401, 8036376, 70768263, 7631780, 14999304]"
Linux,sha512,round2,"[20549198, 11404617, 15761399, 43742614, 51375653, 36840649, 59815432, 26443081, 10956808, 7953091, 67079627, 71994006, 91063779, 77701910, 72095794]"
Linux,sha512,round3,"[21887507, 24090553, 2863351, 8013271, 8549015, 35015379, 18131827, 4061425, 64568022, 6919271, 18760035, 3404952, 60260465, 109927944, 23140859]"
Linux,sha512,round4,"[20424470, 40262839, 33800148, 61073561, 15994851, 32806079, 24450250, 130249771, 22119815, 12440650, 47199129, 31020116, 129121620, 116576220, 48687456]"
Linux,sha512,round5,"[77410311, 160240432, 55696520, 14357026, 11812165, 13054888, 117906604, 15001511, 4745289, 45347271, 43381866, 20601351, 7987688, 67519426, 6540631]"
Linux,sha512,round6,"[15117135, 22775568, 10269140, 14848821, 53991487, 50111595, 36527207, 51053663, 31172295, 10949074, 6019384, 63145852, 73222343, 82726569, 76635171]"
Linux,sha512,round7,"[64229564, 20972176, 20624677, 1128589, 5965901, 9519549, 40512742, 15358564, 2324411, 65136852, 6719032, 17675450, 2985097, 60103822, 113780630]"
Linux,sha512,round8,"[25868208, 22199467, 43127034, 32383221, 60139493, 14840234, 31756600, 23725186, 124822832, 22509659, 12096388, 49684384, 27343191, 137326803, 104618288]"
Linux,sha512,round9,"[50450245, 80166168, 173536530, 55079485, 13463828, 11182776, 14596591, 119267838, 14690435, 4896274, 41540050, 55124680, 23852133, 8088878, 69108982]"
macOS,blake2b,round1,"[19880000, 50513000, 171576000, 22584000, 21581000, 41136000, 70332000, 4991000, 49406000, 51238000, 12700000, 813000, 13825000, 39690000, 40591000]"
macOS,blake2b,round2,"[3672000, 100999000, 19894000, 39584000, 56548000, 16803000, 5101000, 17372000, 74942000, 185401000, 37885000, 90966000, 79915000, 17847000, 119148000]"
macOS,blake2b,round3,"[395000, 46150000, 14740000, 33395000, 5565000, 33092000, 1421000, 24479000, 67909000, 7361000, 9874000, 153217000, 84144000, 22877000, 5262000]"
macOS,blake2b,round4,"[56037000, 17925000, 34997000, 16218000, 14895000, 45339000, 124663000, 34545000, 43128000, 49239000, 45027000, 201027000, 26773000, 116221000, 7626000]"
macOS,blake2b,round5,"[40496000, 47878000, 14996000, 11427000, 2160000, 21132000, 40486000, 56699000, 13709000, 211000, 3783000, 44764000, 26793000, 100440000, 6919000]"
macOS,blake2b,round6,"[15152000, 77130000, 12105000, 33553000, 46232000, 3369000, 24812000, 7899000, 179441000, 22348000, 117144000, 101196000, 141932000, 10115000, 11725000]"
macOS,blake2b,round7,"[132300000, 16412000, 40393000, 28235000, 28253000, 48468000, 60622000, 129218000, 54706000, 14319000, 36950000, 54442000, 66990000, 34488000, 5181000]"
macOS,blake2b,round8,"[68986000, 73240000, 80966000, 46817000, 128932000, 21652000, 9303000, 65950000, 7205000, 13017000, 17865000, 11246000, 13350000, 46485000, 54701000]"
macOS,blake2b,round9,"[36713000, 54924000, 29350000, 12490000, 6649000, 61302000, 63898000, 81485000, 73110000, 125215000, 19384000, 20153000, 1527000, 6754000, 9876000]"
macOS,blake2s,round1,"[51097000, 15830000, 30868000, 32445000, 114576000, 22075000, 12865000, 48825000, 27032000, 109843000, 85233000, 41276000, 75164000, 151232000, 45268000]"
macOS,blake2s,round2,"[13150000, 11300000, 12122000, 102929000, 15705000, 2148000, 35263000, 40205000, 17872000, 7429000, 53988000, 6564000, 12560000, 17923000, 11036000]"
macOS,blake2s,round3,"[12807000, 82300000, 51890000, 36753000, 52563000, 27132000, 12142000, 7111000, 60510000, 82666000, 133762000, 178510000, 78522000, 30282000, 26948000]"
macOS,blake2s,round4,"[1764000, 8678000, 11808000, 50284000, 94740000, 2425000, 57209000, 7218000, 15992000, 2821000, 102104000, 106270000, 20204000, 20540000, 35732000]"
macOS,blake2s,round5,"[32370000, 69716000, 16459000, 57293000, 29358000, 148037000, 21731000, 12659000, 61104000, 33532000, 142848000, 88997000, 42490000, 71997000, 167794000]"
macOS,blake2s,round6,"[68138000, 14217000, 12864000, 13952000, 101796000, 14395000, 2293000, 36213000, 43297000, 23131000, 8199000, 77659000, 7253000, 13360000, 20044000]"
macOS,blake2s,round7,"[12974000, 14843000, 164665000, 60456000, 41770000, 71956000, 50148000, 18174000, 7957000, 67335000, 65437000, 145822000, 67437000, 58742000, 18891000]"
macOS,blake2s,round8,"[20953000, 1873000, 6988000, 9858000, 37101000, 17706000, 3822000, 65661000, 8385000, 17826000, 3307000, 57755000, 108051000, 22204000, 22592000]"
macOS,blake2s,round9,"[42469000, 29975000, 57835000, 16087000, 32179000, 23439000, 114379000, 22471000, 13669000, 47337000, 27036000, 112401000, 90132000, 46579000, 80022000]"
macOS,blake3,round1,"[43589000, 14098000, 147872000, 70541000, 102328000, 91956000, 40747000, 56990000, 23065000, 4308000, 6739000, 37371000, 14318000, 79024000, 170361000]"
macOS,blake3,round2,"[61048000, 6706000, 53505000, 98289000, 59583000, 78238000, 367809000, 37740000, 80272000, 35949000, 22905000, 34882000, 57893000, 68000, 29216000]"
macOS,blake3,round3,"[133212000, 4805000, 69212000, 3869000, 61864000, 29414000, 72707000, 20086000, 107942000, 26447000, 43779000, 5940000, 19071000, 54418000, 47007000]"
macOS,blake3,round4,"[64657000, 30458000, 56459000, 7559000, 75341000, 23610000, 40131000, 81012000, 21432000, 26108000, 31059000, 2589000, 60122000, 55556000, 91009000]"
macOS,blake3,round5,"[49002000, 35677000, 6172000, 32094000, 114563000, 128356000, 12785000, 80599000, 18382000, 77754000, 46769000, 11140000, 4599000, 2628000, 4347000]"
