OS,Hash,Round,AvgTime,Rank
Windows,sha256,round6,76480120.0,5.0
Windows,sha256,round7,38885186.666666664,1.0
Windows,sha256,round8,47063720.0,3.0
Windows,sha256,round9,46426326.666666664,2.0
Windows,sha512,round1,39031340.0,1.0
Windows,sha512,round2,52931566.666666664,3.0
Windows,sha512,round3,46013540.0,2.0
Windows,sha512,round4,80955186.66666667,5.0
Windows,sha512,round5,36207126.666666664,1.0
Windows,sha512,round6,59839386.666666664,4.0
Windows,sha512,round7,40391306.666666664,2.0
Windows,sha512,round8,87943566.66666667,4.0
Windows,sha512,round9,39262080.0,1.0
macOS,blake2b,round1,40723733.333333336,2.0
macOS,blake2b,round2,57738466.666666664,3.0
macOS,blake2b,round3,33992066.666666664,3.0
macOS,blake2b,round4,55577333.333333336,5.0
macOS,blake2b,round5,28792866.666666668,1.0
macOS,blake2b,round6,53610200.0,3.0
macOS,blake2b,round7,50065133.333333336,4.0
macOS,blake2b,round8,43981000.0,2.0
macOS,blake2b,round9,40188666.666666664,3.0
macOS,blake2s,round1,57575266.666666664,4.0
macOS,blake2s,round2,24012933.333333332,1.0
macOS,blake2s,round3,58259866.666666664,5.0
macOS,blake2s,round4,35852600.0,1.0
macOS,blake2s,round5,66425666.666666664,5.0
macOS,blake2s,round6,30454066.666666668,1.0
macOS,blake2s,round7,57773800.0,5.0
macOS,blake2s,round8,26938800.0,1.0
macOS,blake2s,round9,50400666.666666664,5.0
macOS,blake3,round1,60220466.666666664,5.0
macOS,blake3,round2,68273533.33333333,5.0
macOS,blake3,round3,46651533.333333336,4.0
macOS,blake3,round4,44473466.666666664,4.0
macOS,blake3,round5,41657800.0,4.0
macOS,blake3,round6,59601733.333333336,4.0
macOS,blake3,round7,24149866.666666668,1.0
macOS,blake3,round8,53799133.333333336,4.0
macOS,blake3,round9,33342000.0,2.0
macOS,sha256,round1,42464733.333333336,3.0
macOS,sha256,round2,67489400.0,4.0
macOS,sha256,round3,29377266.666666668,2.0
macOS,sha256,round4,36166466.666666664,2.0
macOS,sha256,round5,34419466.666666664,2.0
macOS,sha256,round6,61967800.0,5.0
macOS,sha256,round7,26157600.0,2.0
macOS,sha256,round8,60780800.0,5.0
macOS,sha256,round9,28237066.666666668,1.0
macOS,sha512,round1,40723000.0,1.0
macOS,sha512,round2,46044466.666666664,2.0
macOS,sha512,round3,24312266.666666668,1.0
macOS,sha512,round4,43908800.0,3.0
macOS,sha512,round5,37719933.333333336,3.0
macOS,sha512,round6,35408133.333333336,2.0
macOS,sha512,round7,26749066.666666668,3.0
macOS,sha512,round8,47730600.0,3.0
macOS,sha512,round9,42291333.333333336,4.0
