Algorithm,Data Size (MB),Iterations,Total Time (ms),Avg Time (ms),Speed (MBps)
md5,1,5,11.60287857055664,2.320575714111328,2154.63773476349
md5,2,5,21.219730377197266,4.243946075439453,2356.297611289634
md5,4,5,43.46776008605957,8.693552017211914,2300.5556256410537
md5,8,5,84.15794372558594,16.831588745117188,2376.483919951046
md5,16,5,165.37117958068848,33.074235916137695,2418.8011539509557
md5,32,5,341.8006896972656,68.36013793945312,2340.545306413991
md5,64,5,741.2562370300293,148.25124740600586,2158.497858190948
md5,128,5,1346.3327884674072,269.26655769348145,2376.8269089269584
md5,200,5,2208.0366611480713,441.60733222961426,2264.455155106095
md5,512,5,5722.639799118042,1144.5279598236084,2236.729979400888
sha1,1,5,2.5238990783691406,0.5047798156738281,9905.308898545249
sha1,2,5,5.199193954467773,1.0398387908935547,9616.875315265741
sha1,4,5,11.496782302856445,2.299356460571289,8698.085896186309
sha1,8,5,22.024154663085938,4.4048309326171875,9080.938771975405
sha1,16,5,43.55788230895996,8.711576461791992,9183.18290046252
sha1,32,5,89.72668647766113,17.945337295532227,8915.965042341919
sha1,64,5,175.87018013000488,35.17403602600098,9097.619612473616
sha1,128,5,366.98031425476074,73.39606285095215,8719.813776655425
sha1,200,5,591.0141468048096,118.20282936096191,8460.034378248678
sha1,512,5,1439.1989707946777,287.83979415893555,8893.836265691787
sha256,1,5,2.544879913330078,0.5089759826660156,9823.646243207795
sha256,2,5,5.5999755859375,1.1199951171875,8928.610354223434
sha256,4,5,10.830879211425781,2.1661758422851562,9232.86079070177
sha256,8,5,21.648883819580078,4.329776763916016,9238.351578159072
sha256,16,5,52.72936820983887,10.545873641967773,7585.905418175735
sha256,32,5,84.74898338317871,16.949796676635742,9439.641256614612
sha256,64,5,174.1166114807129,34.82332229614258,9189.243842924396
sha256,128,5,345.40390968322754,69.08078193664551,9264.515861834752
sha256,200,5,533.764123916626,106.7528247833252,9367.433620887194
sha256,512,5,1372.7507591247559,274.5501518249512,9324.343778298893
sha512,1,5,4.027128219604492,0.8054256439208984,6207.897696998401
sha512,2,5,8.17418098449707,1.634836196899414,6116.820767099314
sha512,4,5,17.4710750579834,3.4942150115966797,5723.746230161438
sha512,8,5,33.64205360412598,6.728410720825195,5944.940292689841
sha512,16,5,69.38314437866211,13.876628875732422,5765.088964792072
sha512,32,5,135.2403163909912,27.048063278198242,5915.395803179965
sha512,64,5,273.2548713684082,54.65097427368164,5855.339346696751
sha512,128,5,542.6828861236572,108.53657722473145,5896.629655778088
sha512,200,5,860.8050346374512,172.16100692749023,5808.516213088683
sha512,512,5,2170.274496078491,434.05489921569824,5897.871455029562
sha3_256,1,5,8.697986602783203,1.7395973205566406,2874.228386601612
sha3_256,2,5,17.420053482055664,3.484010696411133,2870.255252172723
sha3_256,4,5,35.2628231048584,7.05256462097168,2835.8478191787863
sha3_256,8,5,70.58262825012207,14.116525650024414,2833.558411727947
sha3_256,16,5,142.8229808807373,28.56459617614746,2800.6697348938224
sha3_256,32,5,280.37023544311523,56.07404708862305,2853.36993327993
sha3_256,64,5,564.8126602172852,112.96253204345703,2832.7976915115096
sha3_256,128,5,1182.121753692627,236.4243507385254,2706.9969654175384
sha3_256,200,5,1826.2817859649658,365.25635719299316,2737.8031355430253
sha3_256,512,5,4577.201843261719,915.4403686523438,2796.4683311581266
blake2s,1,5,9.48643684387207,1.897287368774414,2635.3414260222676
blake2s,2,5,19.64712142944336,3.929424285888672,2544.902070237604
blake2s,4,5,38.880109786987305,7.776021957397461,2572.0091982216773
blake2s,8,5,77.76713371276855,15.553426742553711,2571.7805254170257
blake2s,16,5,156.5988063812256,31.319761276245117,2554.2978854272765
blake2s,32,5,313.4939670562744,62.69879341125488,2551.883238813314
blake2s,64,5,627.2594928741455,125.4518985748291,2550.7784548125237
blake2s,128,5,1256.446123123169,251.2892246246338,2546.8660701866843
blake2s,200,5,1955.24001121521,391.048002243042,2557.2308112150527
blake2s,512,5,5104.003667831421,1020.8007335662842,2507.835188417574
blake2b,1,5,6.995201110839844,1.3990402221679688,3573.8786639400137
blake2b,2,5,11.907100677490234,2.381420135498047,4199.175043049938
blake2b,4,5,24.354219436645508,4.870843887329102,4106.064670236615
blake2b,8,5,49.70431327819824,9.940862655639648,4023.7956589519126
blake2b,16,5,98.76489639282227,19.752979278564453,4050.0219674109835
blake2b,32,5,197.32332229614258,39.464664459228516,4054.2597331670763
blake2b,64,5,393.8279151916504,78.76558303833008,4062.688139365094
blake2b,128,5,784.6901416778564,156.9380283355713,4078.042822301335
blake2b,200,5,1251.7292499542236,250.34584999084473,3994.474044752771
blake2b,512,5,3220.3760147094727,644.0752029418945,3974.6911359215164
blake3,1,5,3.2110214233398438,0.6422042846679688,7785.684585684586
blake3,2,5,6.512880325317383,1.3025760650634766,7677.094849361204
blake3,4,5,13.164281845092773,2.6328563690185547,7596.312596214797
blake3,8,5,29.111146926879883,5.822229385375977,6870.220555114209
blake3,16,5,57.71231651306152,11.542463302612305,6930.929551397777
blake3,32,5,108.58368873596191,21.716737747192383,7367.589085551552
blake3,64,5,220.9019660949707,44.18039321899414,7243.031957950633
blake3,128,5,439.3184185028076,87.86368370056152,7284.010560962969
blake3,200,5,683.5513114929199,136.71026229858398,7314.739824110175
blake3,512,5,1747.8389739990234,349.5677947998047,7323.329088327762
